Month,NEIGHBORHOOD,Total,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
june,"DIAMOND LAKE",10,0,0,1,0,0,9,0,0
june,"DOWNTOWN EAST",13,0,0,0,0,2,11,0,0
june,"DOWNTOWN WEST",253,0,6,20,19,5,201,2,0
june,"EAST HARRIET",14,0,0,0,0,3,10,1,0
june,"EAST ISLES",29,0,0,0,0,10,19,0,0
june,"EAST PHILLIPS",50,0,1,4,3,7,33,2,0
june,ECCO,12,0,1,0,0,3,8,0,0
june,"ELLIOT PARK",54,0,2,4,4,6,38,0,0
june,ERICSSON,10,0,0,1,1,3,3,2,0
june,FIELD,10,0,0,0,0,4,6,0,0
june,FOLWELL,38,1,1,4,6,14,11,1,0
june,FULTON,7,0,0,0,0,4,3,0,0
june,HALE,7,0,0,0,0,5,2,0,0
